Scan Parameters
Scan Type,Standard Scan
ID,0
Stylus,Radius: 12.5 µm
Location,-3763.8 um, 1511.8 um
Length,1071.0 um
Duration,8 sec
Resolution,0.446 um/sample
Force,8.00 mg
Measurement Range,6.5 um
Profile,Hills&Valleys
Display Range,Auto
R. Cursor,Pos: 1045.1 um Width: 40.0 um
M. Cursor,Pos: 98.2 um Width: 40.0 um

Analytical Results
Function,R.Cur Pos,R.Cur Width,M.Cur Pos,M.Cur Width,Result
Ra,112.0 um,40.0 um,10.0 um,40.0 um,1.14 nm
Rq,112.0 um,40.0 um,10.0 um,40.0 um,1.38 nm
ASH,112.0 um,40.0 um,10.0 um,40.0 um,-5.65 nm

Scan Data
Lateral um,Raw Nanometer,
187.9,8.08,,
188.3,8.08,,
188.8,8.09,,
189.2,7.78,,
189.7,7.52,,
190.1,7.36,,
190.5,7.30,,
191.0,7.21,,
191.4,7.38,,
191.9,7.27,,
192.3,6.96,,
192.8,6.65,,
193.2,6.31,,
193.7,5.90,,
194.1,5.75,,
194.6,5.75,,
195.0,5.86,,
195.5,6.04,,
195.9,6.08,,
196.3,6.10,,
196.8,6.33,,
197.2,6.20,,
197.7,5.97,,
198.1,6.06,,
198.6,6.42,,
199.0,6.63,,
199.5,7.03,,
199.9,6.95,,
200.4,6.90,,
200.8,7.34,,
201.3,7.87,,
201.7,8.10,,
202.2,8.49,,
202.6,8.84,,
203.0,8.89,,
203.5,8.97,,
203.9,8.87,,
204.4,8.73,,
204.8,9.01,,
205.3,9.19,,
205.7,9.16,,
206.2,9.31,,
206.6,9.52,,
207.1,9.43,,
207.5,9.12,,
208.0,9.00,,
208.4,9.24,,
208.8,9.59,,
209.3,9.56,,
209.7,9.07,,
210.2,8.64,,
210.6,8.65,,
211.1,8.79,,
211.5,9.17,,
212.0,9.78,,
212.4,10.16,,
212.9,10.26,,
213.3,10.33,,
213.8,10.44,,
214.2,10.72,,
214.6,11.20,,
215.1,11.89,,
215.5,12.60,,
216.0,12.93,,
216.4,13.03,,
216.9,13.17,,
217.3,13.26,,
217.8,13.38,,
218.2,13.63,,
218.7,14.14,,
219.1,14.56,,
219.6,14.89,,
220.0,14.80,,
220.4,14.61,,
220.9,14.63,,
221.3,14.67,,
221.8,14.66,,
222.2,14.78,,
222.7,14.84,,
223.1,14.87,,
223.6,15.03,,
224.0,15.13,,
224.5,15.10,,
224.9,15.01,,
225.4,14.92,,
225.8,14.84,,
226.2,15.06,,
226.7,15.30,,
227.1,15.45,,
227.6,15.99,,
228.0,16.95,,
228.5,18.39,,
228.9,20.44,,
229.4,22.65,,
229.8,24.38,,
230.3,25.95,,
230.7,27.38,,
231.2,28.68,,
231.6,30.12,,
232.0,31.59,,
232.5,33.17,,
232.9,35.08,,
233.4,36.84,,
233.8,38.28,,
234.3,39.51,,
234.7,40.81,,
235.2,42.09,,
235.6,43.31,,
236.1,44.42,,
236.5,45.74,,
237.0,47.45,,
237.4,49.16,,
237.9,50.67,,
238.3,52.43,,
238.7,53.98,,
239.2,54.84,,
239.6,55.43,,
240.1,55.97,,
240.5,56.81,,
241.0,58.20,,
241.4,60.12,,
241.9,62.20,,
242.3,64.31,,
242.8,66.18,,
243.2,67.56,,
243.7,68.93,,
244.1,70.50,,
244.5,71.95,,
245.0,73.11,,
245.4,73.80,,
245.9,74.35,,
246.3,74.59,,
246.8,74.58,,
247.2,75.17,,
247.7,76.74,,
248.1,78.87,,
248.6,81.20,,
249.0,83.84,,
249.5,86.80,,
249.9,89.61,,
250.3,92.32,,
250.8,94.92,,
251.2,97.27,,
251.7,99.44,,
252.1,101.48,,
252.6,103.48,,
253.0,105.66,,
253.5,107.87,,
253.9,109.91,,
254.4,111.82,,
254.8,113.61,,
255.3,115.07,,
255.7,116.20,,
256.1,117.14,,
256.6,118.11,,
257.0,119.84,,
257.5,122.09,,
257.9,124.67,,
258.4,127.76,,
258.8,130.84,,
259.3,133.46,,
259.7,136.03,,
260.2,138.73,,
260.6,141.40,,
261.1,144.21,,
261.5,147.16,,
261.9,149.66,,
262.4,152.01,,
262.8,154.37,,
263.3,156.43,,
263.7,158.61,,
264.2,160.95,,
264.6,163.27,,
265.1,165.49,,
265.5,167.30,,
266.0,168.64,,
266.4,170.13,,
266.9,171.92,,
267.3,173.64,,
267.8,175.46,,
268.2,177.45,,
268.6,179.14,,
269.1,180.58,,
269.5,181.81,,
270.0,182.86,,
270.4,183.97,,
270.9,184.98,,
271.3,186.10,,
271.8,187.30,,
272.2,188.58,,
272.7,189.63,,
273.1,190.76,,
273.6,191.89,,
274.0,193.26,,
274.4,194.67,,
274.9,196.11,,
275.3,197.48,,
275.8,199.21,,
276.2,201.06,,
276.7,202.69,,
277.1,204.34,,
277.6,205.92,,
278.0,207.14,,
278.5,208.28,,
278.9,209.37,,
279.4,210.42,,
279.8,211.69,,
280.2,213.05,,
280.7,214.18,,
281.1,215.39,,
281.6,216.58,,
282.0,217.80,,
282.5,219.10,,
282.9,220.19,,
283.4,221.10,,
283.8,222.16,,
284.3,223.12,,
284.7,223.86,,
285.2,224.54,,
285.6,224.91,,
286.0,225.24,,
286.5,225.68,,
286.9,225.82,,
287.4,225.71,,
287.8,225.81,,
288.3,226.09,,
288.7,226.33,,
289.2,226.65,,
289.6,226.98,,
290.1,227.27,,
290.5,227.89,,
291.0,228.64,,
291.4,229.20,,
291.8,229.84,,
292.3,230.64,,
292.7,231.46,,
293.2,232.61,,
293.6,233.77,,
294.1,234.65,,
294.5,235.44,,
295.0,236.26,,
295.4,236.92,,
295.9,237.85,,
296.3,239.14,,
296.8,240.29,,
297.2,241.51,,
297.6,242.84,,
298.1,243.79,,
298.5,244.59,,
299.0,245.23,,
299.4,245.93,,
299.9,246.67,,
300.3,247.46,,
300.8,247.99,,
301.2,248.50,,
301.7,248.82,,
302.1,248.96,,
302.6,249.20,,
303.0,250.32,,
303.4,251.74,,
303.9,253.26,,
304.3,254.72,,
304.8,255.87,,
305.2,256.90,,
305.7,258.09,,
306.1,259.68,,
306.6,261.67,,
307.0,263.72,,
307.5,265.32,,
307.9,266.85,,
308.4,268.20,,
308.8,269.25,,
309.3,271.01,,
309.7,273.37,,
310.1,275.76,,
310.6,277.65,,
311.0,279.31,,
311.5,280.56,,
311.9,281.42,,
312.4,282.70,,
312.8,284.11,,
313.3,285.57,,
313.7,287.22,,
314.2,288.72,,
314.6,289.88,,
315.1,290.96,,
315.5,291.84,,
315.9,293.16,,
316.4,294.66,,
316.8,295.88,,
317.3,296.88,,
317.7,297.90,,
318.2,299.06,,
318.6,300.36,,
319.1,301.78,,
319.5,303.29,,
320.0,304.91,,
320.4,306.32,,
320.9,307.15,,
321.3,308.09,,
321.7,309.28,,
322.2,310.52,,
322.6,312.16,,
323.1,313.79,,
323.5,314.83,,
324.0,315.56,,
324.4,316.39,,
324.9,317.00,,
325.3,317.78,,
325.8,318.72,,
326.2,319.75,,
326.7,321.06,,
327.1,322.41,,
327.5,323.39,,
328.0,324.30,,
328.4,325.41,,
328.9,326.40,,
329.3,327.29,,
329.8,328.52,,
330.2,329.89,,
330.7,331.03,,
331.1,332.03,,
331.6,332.73,,
332.0,333.29,,
332.5,334.13,,
332.9,335.03,,
333.3,335.95,,
333.8,337.03,,
334.2,337.82,,
334.7,338.37,,
335.1,338.67,,
335.6,338.65,,
336.0,338.39,,
336.5,337.91,,
336.9,337.33,,
337.4,337.10,,
337.8,336.95,,
338.3,336.87,,
338.7,337.13,,
339.1,337.82,,
339.6,338.42,,
340.0,339.09,,
340.5,339.83,,
340.9,340.63,,
341.4,341.04,,
341.8,341.31,,
342.3,341.65,,
342.7,342.23,,
343.2,342.67,,
343.6,342.91,,
344.1,343.13,,
344.5,343.32,,
345.0,343.15,,
345.4,342.88,,
345.8,342.80,,
346.3,342.85,,
346.7,343.13,,
347.2,343.87,,
347.6,344.53,,
348.1,344.71,,
348.5,344.61,,
349.0,344.36,,
349.4,344.40,,
349.9,344.70,,
350.3,344.68,,
350.8,344.52,,
351.2,344.29,,
351.6,343.98,,
352.1,343.97,,
352.5,344.25,,
353.0,344.30,,
353.4,344.44,,
353.9,344.80,,
354.3,344.94,,
354.8,344.92,,
355.2,345.17,,
355.7,345.42,,
356.1,345.55,,
356.6,345.69,,
357.0,345.58,,
357.4,345.66,,
357.9,346.02,,
358.3,346.47,,
358.8,346.91,,
359.2,347.38,,
359.7,347.71,,
360.1,347.87,,
360.6,348.25,,
361.0,348.47,,
361.5,348.77,,
361.9,349.04,,
362.4,349.12,,
362.8,349.01,,
363.2,349.17,,
363.7,349.83,,
364.1,350.70,,
364.6,351.50,,
365.0,352.09,,
365.5,352.52,,
365.9,352.78,,
366.4,352.63,,
366.8,352.43,,
367.3,352.38,,
367.7,352.36,,
368.2,352.34,,
368.6,352.64,,
369.0,353.10,,
369.5,353.69,,
369.9,354.36,,
370.4,354.87,,
370.8,355.18,,
371.3,355.25,,
371.7,354.98,,
372.2,354.80,,
372.6,354.84,,
373.1,355.07,,
373.5,355.81,,
374.0,356.99,,
374.4,357.82,,
374.8,358.48,,
375.3,359.20,,
375.7,359.67,,
376.2,359.97,,
376.6,360.55,,
377.1,360.94,,
377.5,361.35,,
378.0,362.19,,
378.4,363.32,,
378.9,364.35,,
379.3,365.42,,
379.8,366.16,,
380.2,366.76,,
380.7,367.45,,
381.1,368.42,,
381.5,369.58,,
382.0,370.68,,
382.4,371.41,,
382.9,371.98,,
383.3,372.59,,
383.8,373.24,,
384.2,373.73,,
384.7,374.27,,
385.1,374.67,,
385.6,375.14,,
386.0,375.86,,
386.5,377.17,,
386.9,379.61,,
387.3,383.19,,
387.8,386.46,,
388.2,388.16,,
388.7,388.67,,
389.1,388.28,,
389.6,387.44,,
390.0,386.47,,
390.5,385.40,,
390.9,384.37,,
391.4,383.43,,
391.8,382.21,,
392.3,380.94,,
392.7,380.13,,
393.1,379.55,,
393.6,379.19,,
394.0,378.99,,
394.5,378.66,,
394.9,378.21,,
395.4,377.95,,
395.8,377.88,,
396.3,377.96,,
396.7,378.22,,
397.2,378.54,,
397.6,378.82,,
398.1,379.11,,
398.5,379.29,,
398.9,379.33,,
399.4,379.37,,
399.8,379.39,,
400.3,379.22,,
400.7,379.07,,
401.2,378.86,,
401.6,378.79,,
402.1,378.96,,
402.5,379.18,,
403.0,379.26,,
403.4,379.55,,
403.9,379.59,,
404.3,379.68,,
404.7,380.07,,
405.2,380.39,,
405.6,380.57,,
406.1,380.64,,
406.5,380.49,,
407.0,380.35,,
407.4,380.20,,
407.9,379.78,,
408.3,379.30,,
408.8,379.22,,
409.2,379.23,,
409.7,379.27,,
410.1,379.31,,
410.5,379.02,,
411.0,378.59,,
411.4,378.40,,
411.9,378.37,,
412.3,378.40,,
412.8,378.71,,
413.2,378.80,,
413.7,378.69,,
414.1,378.81,,
414.6,379.07,,
415.0,379.31,,
415.5,379.58,,
415.9,379.84,,
416.4,379.94,,
416.8,380.24,,
417.2,380.56,,
417.7,380.92,,
418.1,381.36,,
418.6,381.30,,
419.0,381.03,,
419.5,380.90,,
419.9,380.66,,
420.4,380.30,,
420.8,379.96,,
421.3,379.55,,
421.7,379.31,,
422.2,379.41,,
422.6,379.79,,
423.0,380.10,,
423.5,380.24,,
423.9,380.06,,
424.4,379.65,,
424.8,379.32,,
425.3,379.18,,
425.7,379.20,,
426.2,379.54,,
426.6,379.83,,
427.1,379.98,,
427.5,380.12,,
428.0,380.15,,
428.4,379.99,,
428.8,380.36,,
429.3,381.54,,
429.7,382.72,,
430.2,383.37,,
430.6,383.54,,
431.1,383.54,,
431.5,383.76,,
432.0,384.20,,
432.4,384.75,,
432.9,385.22,,
433.3,385.15,,
433.8,384.73,,
434.2,384.27,,
434.6,383.72,,
435.1,383.40,,
435.5,383.64,,
436.0,383.84,,
436.4,384.04,,
436.9,384.35,,
437.3,384.49,,
437.8,384.17,,
438.2,383.90,,
438.7,383.81,,
439.1,384.05,,
439.6,384.54,,
440.0,385.07,,
440.4,385.43,,
440.9,385.93,,
441.3,386.14,,
441.8,386.30,,
442.2,386.74,,
442.7,387.60,,
443.1,388.36,,
443.6,388.91,,
444.0,389.03,,
444.5,388.85,,
444.9,388.64,,
445.4,388.65,,
445.8,388.78,,
446.3,389.24,,
446.7,389.76,,
447.1,390.33,,
447.6,391.10,,
448.0,391.68,,
448.5,391.76,,
448.9,391.62,,
449.4,391.37,,
449.8,390.93,,
450.3,390.82,,
450.7,391.06,,
451.2,391.19,,
451.6,391.14,,
452.1,390.74,,
452.5,390.28,,
452.9,389.88,,
453.4,389.83,,
453.8,389.97,,
454.3,390.18,,
454.7,390.07,,
455.2,389.67,,
455.6,389.55,,
456.1,389.66,,
456.5,389.45,,
457.0,389.41,,
457.4,389.60,,
457.9,389.69,,
458.3,389.48,,
458.7,389.26,,
459.2,389.31,,
459.6,389.84,,
460.1,390.58,,
460.5,391.09,,
461.0,391.26,,
461.4,391.02,,
461.9,390.59,,
462.3,390.18,,
462.8,389.95,,
463.2,389.57,,
463.7,389.45,,
464.1,389.39,,
464.5,389.26,,
465.0,389.15,,
465.4,388.96,,
465.9,388.64,,
466.3,388.51,,
466.8,388.38,,
467.2,388.37,,
467.7,388.46,,
468.1,388.49,,
468.6,388.01,,
469.0,387.56,,
469.5,387.28,,
469.9,387.22,,
470.3,387.32,,
470.8,387.42,,
471.2,387.50,,
471.7,387.74,,
472.1,387.81,,
472.6,387.33,,
473.0,386.79,,
473.5,386.16,,
473.9,385.49,,
474.4,384.70,,
474.8,383.92,,
475.3,383.09,,
475.7,382.74,,
476.1,382.76,,
476.6,383.01,,
477.0,383.51,,
477.5,384.34,,
477.9,385.24,,
478.4,386.06,,
478.8,386.63,,
479.3,386.95,,
479.7,387.15,,
480.2,387.12,,
480.6,386.98,,
481.1,387.29,,
481.5,388.00,,
481.9,388.75,,
482.4,389.53,,
482.8,390.14,,
483.3,390.49,,
483.7,390.97,,
484.2,391.30,,
484.6,391.28,,
485.1,391.41,,
485.5,391.51,,
486.0,391.39,,
486.4,391.30,,
486.9,391.01,,
487.3,390.55,,
487.8,390.33,,
488.2,390.28,,
488.6,390.10,,
489.1,390.09,,
489.5,390.12,,
490.0,390.06,,
490.4,390.17,,
490.9,390.45,,
491.3,390.58,,
491.8,390.65,,
492.2,390.73,,
492.7,390.77,,
