x,y
565.0,-0.001
566.0,-0.002
567.0,-0.001
568.0,-0.001
569.0,-0.001
570.0,-0.001
571.0,-0.001
572.0,-0.001
573.0,-0.001
574.0,-0.002
575.0,-0.002
576.0,-0.002
577.0,-0.002
578.0,-0.002
579.0,-0.002
580.0,-0.002
581.0,-0.001
582.0,-0.002
583.0,-0.002
584.0,-0.002
585.0,-0.002
586.0,-0.002
587.0,-0.002
588.0,-0.002
589.0,-0.002
590.0,-0.002
591.0,-0.002
592.0,-0.002
593.0,-0.002
594.0,-0.002
595.0,-0.002
596.0,-0.002
597.0,-0.002
598.0,-0.002
599.0,-0.002
600.0,-0.003
601.0,-0.002
602.0,-0.002
603.0,-0.002
604.0,-0.002
605.0,-0.002
606.0,-0.002
607.0,-0.002
608.0,-0.003
609.0,-0.002
610.0,-0.002
611.0,-0.003
612.0,-0.003
613.0,-0.003
614.0,-0.003
615.0,-0.002
616.0,-0.003
617.0,-0.002
618.0,-0.002
619.0,-0.003
620.0,-0.003
621.0,-0.002
622.0,-0.003
623.0,-0.003
624.0,-0.002
625.0,-0.003
626.0,-0.003
627.0,-0.003
628.0,-0.002
629.0,-0.003
630.0,-0.003
631.0,-0.003
632.0,-0.002
633.0,-0.003
634.0,-0.002
635.0,-0.003
636.0,-0.003
637.0,-0.003
638.0,-0.003
639.0,-0.002
640.0,-0.002
641.0,-0.004
642.0,-0.003
643.0,-0.003
644.0,-0.003
645.0,-0.003
646.0,-0.003
647.0,-0.003
648.0,-0.004
649.0,-0.003
650.0,-0.003
651.0,-0.002
652.0,-0.003
653.0,-0.002
654.0,-0.002
655.0,-0.003
656.0,-0.003
657.0,-0.003
658.0,-0.003
659.0,-0.003
660.0,-0.001
661.0,-0.003
662.0,-0.003
663.0,-0.004
664.0,-0.003
665.0,-0.003
666.0,-0.003
667.0,-0.003
668.0,-0.002
669.0,-0.003
670.0,-0.002
671.0,-0.004
672.0,-0.002
673.0,-0.002
674.0,-0.003
675.0,-0.002
676.0,-0.002
677.0,-0.003
678.0,-0.002
679.0,-0.002
680.0,-0.003
681.0,-0.002
682.0,-0.003
683.0,-0.002
684.0,-0.002
685.0,-0.002
686.0,-0.003
687.0,-0.003
688.0,-0.002
689.0,-0.002
690.0,-0.002
691.0,-0.002
692.0,-0.002
693.0,-0.003
694.0,-0.002
695.0,-0.003
696.0,-0.003
697.0,-0.002
698.0,-0.002
699.0,-0.003
700.0,-0.002
