Lateral um,Raw Nanometer
1798.5,15.29
1801.6,15.34
1804.7,14.89
1807.9,14.68
1811.0,15.18
1814.1,15.61
1817.2,16.10
1820.4,16.89
1823.5,17.28
1826.6,17.29
1829.8,17.03
1832.9,16.87
1836.0,17.15
1839.1,17.51
1842.3,17.92
1845.4,18.36
1848.5,18.29
1851.6,18.06
1854.8,17.64
1857.9,17.43
1861.0,17.12
1864.2,17.08
1867.3,17.14
1870.4,17.09
1873.5,17.03
1876.7,16.56
1879.8,25.34
1882.9,43.37
1886.1,66.18
1889.2,89.93
1892.3,110.40
1895.4,123.68
1898.6,126.42
1901.7,116.50
1904.8,102.05
1907.9,86.06
1911.1,72.82
1914.2,61.07
1917.3,50.90
1920.5,43.05
1923.6,39.71
1926.7,38.16
1929.8,46.97
1933.0,49.89
1936.1,48.85
1939.2,38.09
1942.3,-24.77
1945.5,-185.16
1948.6,-407.09
1951.7,-648.57
1954.9,-888.51
1958.0,-1109.07
1961.1,-1304.44
1964.2,-1472.02
1967.4,-1613.17
1970.5,-1730.28
1973.6,-1825.70
1976.8,-1902.17
1979.9,-1962.27
1983.0,-2005.15
1986.1,-2035.16
1989.3,-2058.22
1992.4,-2072.84
1995.5,-2087.10
1998.7,-2097.26
2001.8,-2107.40
2004.9,-2108.42
2008.0,-2103.28
2011.2,-2094.64
2014.3,-2083.65
2017.4,-2071.27
2020.5,-2058.28
2023.7,-2044.79
2026.8,-2030.38
2029.9,-2014.77
2033.1,-1993.41
2036.2,-1969.91
2039.3,-1944.89
2042.4,-1920.26
2045.6,-1897.59
2048.7,-1876.49
2051.8,-1857.80
2054.9,-1840.19
2058.1,-1825.38
2061.2,-1812.28
2064.3,-1802.18
2067.5,-1792.85
2070.6,-1787.24
2073.7,-1789.41
2076.8,-1807.98
2080.0,-1832.40
2083.1,-1862.42
2086.2,-1890.87
2089.4,-1917.19
2092.5,-1940.29
2095.6,-1961.20
2098.7,-1977.10
2101.9,-1987.80
2105.0,-1992.35
2108.1,-1991.11
2111.3,-1981.57
2114.4,-1964.95
2117.5,-1943.74
2120.6,-1919.16
2123.8,-1893.96
2126.9,-1869.77
2130.0,-1847.10
2133.1,-1826.66
2136.3,-1808.67
2139.4,-1794.23
2142.5,-1782.06
2145.7,-1773.47
2148.8,-1766.14
2151.9,-1762.80
2155.0,-1763.42
2158.2,-1765.28
2161.3,-1766.31
2164.4,-1766.51
2167.6,-1765.08
2170.7,-1761.05
2173.8,-1756.78
2176.9,-1751.32
2180.1,-1743.09
2183.2,-1732.78
2186.3,-1720.55
2189.4,-1707.96
2192.6,-1695.06
2195.7,-1680.05
2198.8,-1664.68
2202.0,-1649.39
2205.1,-1636.26
2208.2,-1626.45
2211.3,-1618.55
2214.5,-1610.17
2217.6,-1602.72
2220.7,-1594.85
2223.8,-1586.83
2227.0,-1578.22
2230.1,-1571.37
2233.2,-1564.87
2236.4,-1559.43
2239.5,-1554.91
2242.6,-1551.27
2245.7,-1548.67
2248.9,-1546.53
2252.0,-1544.39
2255.1,-1542.99
2258.3,-1541.44
2261.4,-1539.26
2264.5,-1537.23
2267.6,-1534.04
2270.8,-1530.00
2273.9,-1525.21
2277.0,-1519.54
2280.2,-1513.41
2283.3,-1507.44
2286.4,-1501.51
2289.5,-1494.65
2292.7,-1487.23
2295.8,-1480.35
2298.9,-1476.80
2302.0,-1475.17
2305.2,-1474.65
2308.3,-1476.33
2311.4,-1478.31
2314.6,-1480.30
2317.7,-1481.30
2320.8,-1481.49
2323.9,-1480.94
2327.1,-1479.19
2330.2,-1477.60
2333.3,-1475.29
2336.4,-1472.29
2339.6,-1470.77
2342.7,-1468.62
2345.8,-1466.70
2349.0,-1465.27
2352.1,-1469.32
2355.2,-1478.55
2358.3,-1490.15
2361.5,-1498.58
2364.6,-1504.25
2367.7,-1507.00
2370.9,-1507.80
2374.0,-1506.73
2377.1,-1505.16
2380.2,-1505.26
2383.4,-1505.51
2386.5,-1509.42
2389.6,-1513.73
2392.8,-1517.40
2395.9,-1522.19
2399.0,-1526.85
2402.1,-1532.93
2405.3,-1540.21
2408.4,-1548.36
2411.5,-1553.52
2414.6,-1558.89
2417.8,-1563.17
2420.9,-1563.49
2424.0,-1563.94
2427.2,-1562.18
2430.3,-1559.68
2433.4,-1556.75
2436.5,-1554.03
2439.7,-1551.41
2442.8,-1547.22
2445.9,-1543.70
2449.1,-1539.78
2452.2,-1537.31
2455.3,-1536.21
2458.4,-1535.70
2461.6,-1535.08
2464.7,-1534.85
2467.8,-1535.87
2470.9,-1540.04
2474.1,-1542.81
2477.2,-1545.30
2480.3,-1550.63
2483.5,-1554.14
2486.6,-1557.36
2489.7,-1561.76
2492.8,-1564.93
2496.0,-1568.61
2499.1,-1572.17
2502.2,-1575.37
2505.3,-1577.06
2508.5,-1578.58
